G,K,x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
50700000000.0,93400000000.0,0.05321661989747888,0.016305273244743543,5.822939439715156e-05,-1.4591163409686484e-06
50700000000.0,93400000000.0,0.05059974838083944,0.013201050085300587,5.672103121931626e-05,-6.313527127386317e-07
50700000000.0,93400000000.0,0.044999999999903374,0.0,5.037529133357858e-05,3.6920023117911847e-06
50700000000.0,93400000000.0,0.04776019165317301,0.0036238514002061126,5.37236304191205e-05,1.66934980859498e-06
50700000000.0,93400000000.0,0.04965106012815805,0.006874646747767843,5.606035557453376e-05,6.513758430071937e-07
50700000000.0,93400000000.0,0.05500000000006744,0.02,5.946340319644321e-05,-2.5877671110699305e-06
50700000000.0,93400000000.0,0.05235415314576657,0.009303806171408925,5.8252816829899534e-05,1.4206360664892107e-07
50700000000.0,93400000000.0,0.05823192726590074,0.016348000718998244,6.210070208073573e-05,-1.6429004350482967e-06
50700000000.0,93400000000.0,0.0559657565131772,0.011986392631294076,6.060556618973432e-05,-4.6086281699349284e-07
50700000000.0,93400000000.0,0.04999999999992337,0.0,5.514636085089625e-05,2.6906733230115195e-06
50700000000.0,93400000000.0,0.05262979027678832,0.0046374153540623166,5.786865928740717e-05,1.218019823338296e-06
50700000000.0,93400000000.0,0.06000000000004473,0.02,6.3454276976796e-05,-2.7347160289535054e-06
50700000000.0,93400000000.0,0.05592707242380802,0.007876661736037766,6.060872174177601e-05,4.560029303092265e-07
50700000000.0,93400000000.0,0.06263683207866777,0.016993772445039634,6.549172848014577e-05,-1.929715620729367e-06
50700000000.0,93400000000.0,0.062452233127325375,0.012950988525104831,6.538912290247881e-05,-8.053258392692405e-07
50700000000.0,93400000000.0,0.054999999999921695,0.0,5.942839470558917e-05,2.594528087672013e-06
50700000000.0,93400000000.0,0.05999999999994174,0.008605405812100063,6.357200953020016e-05,3.342530511961178e-07
50700000000.0,93400000000.0,0.057709422090334014,0.004260359157688499,6.175026385199067e-05,1.426989186492772e-06
50700000000.0,93400000000.0,0.06500000000003829,0.02,6.731591057070045e-05,-2.8087984983263728e-06
50700000000.0,93400000000.0,0.0675000000000297,0.015669872981095123,6.921917234205246e-05,-1.6017652378611393e-06
50700000000.0,93400000000.0,0.06498808256992392,0.008430813770925498,6.731802966632852e-05,4.085617114043042e-07
50700000000.0,93400000000.0,0.0599999999999417,0.0,6.34389606356284e-05,2.681203038012731e-06
50700000000.0,93400000000.0,0.06249628648888765,0.00431977005359023,6.539535775175413e-05,1.5120978349194272e-06
50700000000.0,93400000000.0,0.07000000000002102,0.02,7.114100408653537e-05,-2.836228354899796e-06
50700000000.0,93400000000.0,0.06740051133418926,0.011506851525703132,6.914756485278306e-05,-4.429310798367678e-07
50700000000.0,93400000000.0,0.07279327590094296,0.016137876774427747,7.326606868925293e-05,-1.755089456472735e-06
50700000000.0,93400000000.0,0.07178864413358495,0.012003458154242634,7.24935219524321e-05,-5.874276744061328e-07
50700000000.0,93400000000.0,0.06749385792404124,0.004274392442031136,6.921095097948123e-05,1.5735012897342028e-06
50700000000.0,93400000000.0,0.07002157552234663,0.008066666492799884,7.114662879769279e-05,5.174599957395398e-07
50700000000.0,93400000000.0,0.0649999999999617,0.0,6.730562757818677e-05,2.757514524355716e-06
50700000000.0,93400000000.0,0.0749999999999983,0.02,7.495978690646855e-05,-2.8504533801705987e-06
50700000000.0,93400000000.0,0.07633974596214867,0.01633974596214564,7.5977053172805e-05,-1.8175906425424536e-06
50700000000.0,93400000000.0,0.07604655695369905,0.012816287427492372,7.574829317027962e-05,-8.212715704427998e-07
50700000000.0,93400000000.0,0.0755257015008422,0.007859064009264708,7.534869653280845e-05,5.793259207728935e-07
50700000000.0,93400000000.0,0.06999999999998169,0.0,7.113200134807959e-05,2.7897574836502663e-06
50700000000.0,93400000000.0,0.07247855853674462,0.0042341156225629145,7.30207745072169e-05,1.5998168449889311e-06
50700000000.0,93400000000.0,0.08,0.02,7.878002598581459e-05,-2.8571170589138697e-06
50700000000.0,93400000000.0,0.08,0.01499999999998712,7.877255408833958e-05,-1.4427021303759504e-06
50700000000.0,93400000000.0,0.08,0.00999999999997458,7.876841580376244e-05,-2.6957196508458186e-08
50700000000.0,93400000000.0,0.07633974596214371,0.003660254037848154,7.597224706834142e-05,1.7658248893146914e-06
50700000000.0,93400000000.0,0.07499999999998001,0.0,7.495188964817905e-05,2.7992960664686345e-06
50700000000.0,93400000000.0,0.08,0.004999999999989158,7.87688933816177e-05,1.3880170141689492e-06
